X,Y,OBJECTID,DFGCONTROL,OESNUMBER,DATEOFINCI,TIMEOFINCI,INLANDMARI,SPECIFICLO,WATER,WATERWAY,LOCALECITY,LOCALECOUN,LATITUDE,LONGITUDE
-13020975.6,4066799.991,21,08FG2521,Aug-45,2008/07/30 00:00:00+00,900,Inland,Fresh Water,Yes,seasonal dry creek,Fawnskin,San Bernardino,34.282508,-116.969402
-13021253.33,3837245.703,22,08FG3844,Aug-18,2008/12/06 00:00:00+00,815,Inland,Fresh Water,Yes,storm drain,San Diego,San Diego,32.561508,-116.971897
-13024247.51,4148854.267,23,08FG1861,Aug-76,2008/05/27 00:00:00+00,1130,Inland,Fresh Water,Yes,Storm Drain to Mojave River Dry Bed,Barstow,San Bernardino,34.889344,-116.998794
-13024608.62,3992491.867,24,08FG0927,08-1637,2008/02/26 00:00:00+00,2000,Inland,Fresh Water,Yes,Storm Drain,Hemet,Riverside,33.72915,-117.002038
-13025716.58,3867376.8,25,08FG2893,Aug-93,2008/09/01 00:00:00+00,1115,Inland,Fresh Water,Yes,Alvarado Closed Drainage Creek,La Mesa,San Diego,32.789344,-117.011991
-13026150.39,3857760.951,26,08FG2075,Aug-58,2008/06/15 00:00:00+00,2100,Inland,Fresh Water,Yes,Storm Drain that leads to unknown location.,Spring Valley,San Diego,32.716697,-117.015888
-13026570.64,4149945.722,27,08FG2080,Aug-69,2008/06/16 00:00:00+00,1435,Inland,Fresh Water,Yes,contained in the Storm drain,Barstow,San Bernardino,34.897386,-117.019663
-13026904.36,3853996.14,28,08FG0612,08-1017,2008/02/02 00:00:00+00,925,Inland,Fresh Water,Yes,Storm Drain,San Diego,San Diego,32.688238,-117.022661
-13028203.68,3857452.144,29,08FG0304,08-0508,2008/01/17 00:00:00+00,530,Inland,Fresh Water,Yes,storm drain,San Diego,San Diego,32.714363,-117.034333
-13028339.15,3849089.756,30,08FG2044,Aug-06,2008/06/13 00:00:00+00,1107,Inland,Fresh Water,Yes,Storm drain that leads to unknown location.,Chula Vista,San Diego,32.651136,-117.03555
-13028397.82,3868384.279,31,08FG2646,Aug-33,2008/08/11 00:00:00+00,2137,Inland,Fresh Water,Yes,Contained at the storm channel,San Diego,San Diego,32.796952,-117.036077
-13028971.12,3889534.645,32,08FG1641,Aug-74,2008/05/05 00:00:00+00,1030,Inland,Fresh Water,Yes,Storm Drain catch Basin,Poway,San Diego,32.956519,-117.041227
-13029810.35,3852584.264,33,09FG0015,09-0028,2008/12/30 00:00:00+00,800,Inland,Fresh Water,Yes,Storm Drain,San Diego,San Diego,32.677563,-117.048766
-13030117.7,3841638.862,34,08FG1478,Aug-33,2008/04/21 00:00:00+00,130,Inland,Fresh Water,Yes,Storm Drain,Chula Vista,San Diego,32.594763,-117.051527
-13030304.84,3926706.056,35,08FG3743,Aug-89,2008/11/27 00:00:00+00,30,Inland,Fresh Water,Yes,Storm Drain,Valley Center,San Diego,33.236258,-117.053208
-13030595.83,3966388.699,36,08FG3822,Aug-58,2008/11/29 00:00:00+00,1000,Inland,Fresh Water,Yes,Storm Drain to unknown location,Temecula,Riverside,33.533911,-117.055822
-13030828.92,3848661.922,37,08FG0741,08-1278,2008/02/12 00:00:00+00,1115,Inland,Fresh Water,Yes,storm drain,Chula Vista,San Diego,32.6479,-117.057916
-13031108.45,3868067.247,38,08FG0203,08-0300,2008/01/07 00:00:00+00,1757,Inland,Fresh Water,Yes,Storm drain leading to unknown location,San Diego,San Diego,32.794558,-117.060427
-13031644.34,3842717.618,39,08FG2666,Aug-87,2008/08/13 00:00:00+00,1100,Inland,Fresh Water,Yes,Channel drains to Otay River,Chula Vista,San Diego,32.602927,-117.065241
-13031755.32,3835264.261,40,08FG2358,Aug-65,2008/07/13 00:00:00+00,2350,Inland,Fresh Water,Yes,Concrete lined channel of the Tijuana River and th,San Diego,San Diego,32.546505,-117.066238
-13031910.96,3993487.488,41,08FG3018,Aug-13,2008/09/13 00:00:00+00,1900,Inland,Fresh Water,Yes,Storm Drain,Winchester,Riverside,33.736588,-117.067636
-13032049.44,3915159.498,42,08FG1990,Aug-89,2008/06/08 00:00:00+00,600,Inland,Fresh Water,Yes,Storm Drain and contained in the storm drain,Escondido,San Diego,33.149458,-117.06888
-13032284.76,3815353.316,43,08FG0942,08-1716,2008/02/29 00:00:00+00,945,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.395605,-117.070994
-13032359.58,4058293.396,44,08FG0911,08-1605,2008/02/26 00:00:00+00,920,Inland,Fresh Water,Yes,Dry Creek/Deep Creek,Green Valley Lake,San Bernardino,34.219344,-117.071666
-13032585.66,3850028.77,45,08FG3725,Aug-59,2008/11/26 00:00:00+00,238,Inland,Fresh Water,Yes,Storm Drain in Center Divide,Chula Vista,San Diego,32.658238,-117.073697
-13032723.58,3812737.42,46,08FG1123,Aug-39,2008/03/18 00:00:00+00,1033,Marine,Marine,Yes,San Diego Harbor,Coronado,San Diego,32.375761,-117.074936
-13032876.65,3895117.581,47,08FG1890,Aug-69,2008/05/30 00:00:00+00,953,Inland,Fresh Water,Yes,Storm Drain/Golf Course,San Diego,San Diego,32.998591,-117.076311
-13033086.6,3845690.52,48,08FG0034,08-0019,2008/01/02 00:00:00+00,1235,Inland,Fresh Water,Yes,Storm Drain,Chula Vista,San Diego,32.625422,-117.078197
-13033123.67,3910967.656,49,08FG3152,Aug-17,2008/09/27 00:00:00+00,1321,Inland,Fresh Water,Yes,"Storm Drain, runs to Escondido Creek",Escondido,San Diego,33.117925,-117.07853
-13033298.32,3817616.786,50,08FG2023,Aug-52,2008/06/11 00:00:00+00,656,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.412772,-117.080099
-13033576.74,3865054.946,51,08FG2752,Aug-67,2008/08/19 00:00:00+00,2005,Inland,Fresh Water,Yes,storm drain,San Diego,San Diego,32.771808,-117.0826
-13033672.8,3816040.473,52,08FG0838,08-1481,2008/02/21 00:00:00+00,930,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.400817,-117.083463
-13033676.92,3859226.773,53,08FG1907,Aug-99,2008/05/31 00:00:00+00,1339,Inland,Fresh Water,Yes,Storm Drain,San Diego,San Diego,32.727775,-117.0835
-13033799.6,3913272.032,54,08FG3442,Aug-58,2008/10/27 00:00:00+00,2015,Inland,Fresh Water,Yes,storm drian,Escondido,San Diego,33.135261,-117.084602
-13033805.5,3864879.925,55,08FG1265,Aug-45,2008/03/31 00:00:00+00,100,Inland,Fresh Water,Yes,Manhole/Waste Water System,San Diego,San Diego,32.770486,-117.084655
-13033957.01,3911534.27,56,08FG3735,Aug-77,2008/11/26 00:00:00+00,1345,Inland,Fresh Water,Yes,Storm Drain,Escondido,San Diego,33.122188,-117.086016
-13034096.82,3900802.775,57,08FG2538,Aug-76,2008/07/31 00:00:00+00,830,Inland,Fresh Water,Yes,unknown,San Diego,San Diego,33.041413,-117.087272
-13034108.29,3910161.71,58,08FG1110,Aug-14,2008/03/17 00:00:00+00,1245,Inland,Fresh Water,Yes,Storm drain,Escondido,San Diego,33.111861,-117.087375
-13034141.35,3849073.89,59,08FG1595,Aug-85,2008/05/01 00:00:00+00,1320,Inland,Fresh Water,Yes,storm drain/storm channel,Chula Vista,San Diego,32.651016,-117.087672
-13034158.61,3901063.987,60,08FG1977,Aug-59,2008/06/06 00:00:00+00,1041,Inland,Fresh Water,Yes,Lake Hodges,San Diego,San Diego,33.04338,-117.087827
-13034437.57,3862237.585,61,08FG0786,08-1371,2008/02/15 00:00:00+00,1224,Inland,Fresh Water,Yes,Storm Drain,San Diego,San Diego,32.750525,-117.090333
-13034771.53,3846673.81,62,08FG1070,Aug-18,2008/03/12 00:00:00+00,2040,Inland,Fresh Water,Yes,Storm Drain,Chula Vista,San Diego,32.632861,-117.093333
-13034814.5,3847798.899,63,08FG1414,Aug-73,2008/04/14 00:00:00+00,30,Inland,Fresh Water,Yes,seasonal pond,Chula Vista,San Diego,32.641372,-117.093719
-13035002.85,3819011.842,64,08FG1244,Aug-91,2008/03/28 00:00:00+00,815,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.423351,-117.095411
-13035054.73,3873415.551,65,08FG0229,08-0355,2008/01/10 00:00:00+00,1730,Inland,Fresh Water,Yes,"Storm Drain, unknown where it runs to",San Diego,San Diego,32.834936,-117.095877
-13035182.19,3839938.21,66,08FG1154,Aug-18,2008/03/20 00:00:00+00,1415,Inland,Fresh Water,Yes,storm drain,San Diego,San Diego,32.581891,-117.097022
-13035440,3867255.77,67,08FG4057,Aug-60,2008/12/26 00:00:00+00,1012,Inland,Fresh Water,Yes,San Deigo River,San Diego,San Diego,32.78843,-117.099338
-13035612.88,3844928.292,68,08FG3459,Aug-97,2008/10/29 00:00:00+00,1425,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.619655,-117.100891
-13035630.47,3819090.573,69,08FG1799,Aug-34,2008/05/20 00:00:00+00,1123,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.423948,-117.101049
-13035634.25,3845171.348,70,08FG2008,Aug-23,2008/06/10 00:00:00+00,825,Marine,Marine,Yes,Chula Vista Bay,Chula Vista,San Diego,32.621494,-117.101083
-13035668.21,3868015.336,71,08FG3937,Aug-07,2008/12/15 00:00:00+00,230,Inland,Fresh Water,Yes,San Diego River,San Diego,San Diego,32.794166,-117.101388
-13035680.68,3881775.738,72,08FG1519,Aug-26,2008/04/24 00:00:00+00,1218,Inland,Fresh Water,Yes,contained in a dry creek bed and dirt removed alon,San Diego,San Diego,32.898016,-117.1015
-13035819.49,3845137.513,73,08FG2273,Aug-43,2008/07/06 00:00:00+00,1100,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.621238,-117.102747
-13035827.84,3845153.373,74,08FG1584,Aug-69,2008/05/01 00:00:00+00,800,Marine,Marine,Yes,San Diego Bay,Chula Vista,San Diego,32.621358,-117.102822
-13035835.85,3845312.373,75,08FG1780,Aug-94,2008/05/18 00:00:00+00,1730,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.622561,-117.102894
-13035861.79,3845625.887,76,08FG3637,Aug-44,2008/11/16 00:00:00+00,1900,Marine,Marine,Yes,San Diego,Chula Vista,San Diego,32.624933,-117.103127
-13035861.79,3845625.887,77,08FG2404,Aug-83,2008/07/16 00:00:00+00,738,Marine,Marine,Yes,San Diego Bay,Chula Vista,San Diego,32.624933,-117.103127
-13035861.79,3845625.887,78,08FG2955,Aug-37,2008/09/08 00:00:00+00,730,Marine,Marine,Yes,San Diego Bay,Chula Vista,San Diego,32.624933,-117.103127
-13035861.79,3845625.887,79,08FG2573,Aug-60,2008/08/04 00:00:00+00,1830,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.624933,-117.103127
-13035861.79,3845625.887,80,08FG3584,Aug-01,2008/11/11 00:00:00+00,715,Marine,Marine,Yes,San Diego Harbor,Chula Vista,San Diego,32.624933,-117.103127
-13035861.79,3845625.887,81,08FG3373,Aug-80,2008/10/21 00:00:00+00,900,Marine,Marine,Yes,Chula Vista Marina,Chula Vista,San Diego,32.624933,-117.103127
-13035869.58,3845687.612,82,08FG1580,Aug-58,2008/04/30 00:00:00+00,1845,Marine,Marine,Yes,Chula Vista Marina,Chula Vista,San Diego,32.6254,-117.103197
-13036159.24,3818778.684,83,08FG1935,Aug-53,2008/06/03 00:00:00+00,950,Marine,Marine,Yes,San Diego Bay,Coronado,San Diego,32.421583,-117.105799
-13036159.24,3818722.637,84,08FG2859,Aug-30,2008/08/29 00:00:00+00,1400,Marine,Marine,Yes,Pacific Ocean,San Diego,San Diego,32.421158,-117.105799
-13036159.24,3818778.684,85,08FG1941,Aug-69,2008/06/03 00:00:00+00,1600,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.421583,-117.105799
-13036223.59,4034166.377,86,08FG0233,08-0362,2008/01/09 00:00:00+00,1300,Inland,Fresh Water,Yes,Storm drain,Yucaipa,San Bernardino,34.039936,-117.106377
-13036317.64,3847323.654,87,08FG2175,Aug-41,2008/06/24 00:00:00+00,1200,Marine,Marine,Yes,Pacific Ocean,Chula Vista,San Diego,32.637777,-117.107222
-13036505,3911508.484,88,08FG2241,Aug-83,2008/07/02 00:00:00+00,900,Inland,Fresh Water,Yes,storm drain,Escondido,San Diego,33.121994,-117.108905
-13036524.48,3849067.676,89,08FG2628,Aug-88,2008/08/10 00:00:00+00,930,Marine,Marine,Yes,San Diego Harbor,National City,San Diego,32.650969,-117.10908
-13036738.21,3835408.866,90,08FG0555,08-0918,2008/01/29 00:00:00+00,1130,Marine,Marine,Yes,Pacific Ocean,Imperial Beach,San Diego,32.5476,-117.111
-13036889.72,3860559.244,91,08FG2550,Aug-19,2008/08/02 00:00:00+00,121,Inland,Fresh Water,Yes,"Storm Drain, unknown where it leads",San Diego,San Diego,32.737844,-117.112361
-13037341.12,3891832.281,92,08FG2733,Aug-24,2008/08/18 00:00:00+00,1009,Inland,Fresh Water,Yes,Storm Drain,San Diego,San Diego,32.973836,-117.116416
-13037394.33,3853349.367,93,08FG0346,08-0600,2008/01/21 00:00:00+00,1545,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.683348,-117.116894
-13037396.22,3845213.51,94,08FG0259,08-0419,2008/01/14 00:00:00+00,930,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.621813,-117.116911
-13037431.18,3882496.201,95,08FG1240,Aug-81,2008/03/27 00:00:00+00,1545,Inland,Fresh Water,Yes,storm drain,San Diego,San Diego,32.90345,-117.117225
-13037779.71,3820306.031,96,08FG0398,08-0700,2008/01/25 00:00:00+00,1130,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.433164,-117.120356
-13037865.54,3851682.472,97,08FG0602,08-0991,2008/02/01 00:00:00+00,900,Marine,Marine,Yes,Palletta Creek,San Diego,San Diego,32.670744,-117.121127
-13037879.46,3932965.27,98,08FG2512,Aug-14,2008/07/26 00:00:00+00,800,Inland,Fresh Water,Yes,unknown dry creek,Valley Center,San Diego,33.283275,-117.121252
-13038043.65,3851153.119,99,08FG3209,Aug-60,2008/10/03 00:00:00+00,1045,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.666741,-117.122727
-13038043.65,3851153.119,100,08FG2053,Aug-19,2008/06/14 00:00:00+00,830,Marine,Marine,Yes,Pacific Ocean,San Diego,San Diego,32.666741,-117.122727
-13038043.65,3851153.119,101,08FG3979,Aug-03,2008/12/18 00:00:00+00,1445,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.666741,-117.122727
-13038043.65,3851153.119,102,08FG1509,Aug-96,2008/04/23 00:00:00+00,1200,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.666741,-117.122727
-13038043.65,3851557.239,103,08FG2812,Aug-98,2008/08/25 00:00:00+00,950,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.669797,-117.122727
-13038043.65,3851153.119,104,08FG2922,Aug-67,2008/09/04 00:00:00+00,1115,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.666741,-117.122727
-13038072.15,3857095.318,105,08FG0777,08-1353,2008/02/15 00:00:00+00,200,Inland,Fresh Water,Yes,Storm drain,San Diego,San Diego,32.711666,-117.122983
-13038095.97,3850539.692,106,08FG4084,Aug-22,2008/12/29 00:00:00+00,1250,Marine,Marine,Yes,"San Diego Harbor, Tributary of Pacific Ocean",Unincorporated county area,San Diego,32.662102,-117.123197
-13038107.66,3851464.671,107,08FG1710,Aug-41,2008/05/12 00:00:00+00,1104,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.669097,-117.123302
-13038107.66,3851464.671,108,08FG1809,Aug-72,2008/05/21 00:00:00+00,2100,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.669097,-117.123302
-13038111.11,3845708.099,109,08FG2388,Aug-34,2008/07/17 00:00:00+00,0,Marine,Marine,Yes,San Diego Bay,Chula Vista,San Diego,32.625555,-117.123333
-13038138.28,3851535.155,110,08FG0477,08-0790,2008/01/26 00:00:00+00,1200,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.66963,-117.123577
-13038140.84,3850773.74,111,08FG4019,Aug-92,2008/12/23 00:00:00+00,930,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.663872,-117.1236
-13038140.84,3850773.74,112,08FG2936,Aug-99,2008/09/05 00:00:00+00,1700,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.663872,-117.1236
-13038140.84,3850773.74,113,08FG3712,Aug-41,2008/11/25 00:00:00+00,1205,Marine,Marine,Yes,Pacific,San Diego,San Diego,32.663872,-117.1236
-13038140.84,3850773.74,114,08FG3085,Aug-59,2008/09/21 00:00:00+00,830,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.663872,-117.1236
-13038140.84,3850773.74,115,08FG2467,Aug-20,2008/07/25 00:00:00+00,700,Marine,Marine,Yes,32nd Street Base Pier 10,San Diego,San Diego,32.663872,-117.1236
-13038161.54,3850780.748,116,08FG3003,Aug-72,2008/09/12 00:00:00+00,825,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.663925,-117.123786
-13038178.35,3852225.205,117,08FG2527,Aug-57,2008/07/30 00:00:00+00,1115,Marine,Marine,Yes,"San Diego Bay, Tributary of Pacific Ocean",San Diego,San Diego,32.674848,-117.123937
-13038295.68,3851802.945,118,08FG2017,Aug-42,2008/06/10 00:00:00+00,1535,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.671655,-117.124991
-13038295.68,3851802.945,119,08FG2210,Aug-30,2008/06/10 00:00:00+00,800,Marine,Marine,Yes,"San Diego Harbor, Tributary of Pacific Ocean",San Diego,San Diego,32.671655,-117.124991
-13038296.68,3852377.556,120,08FG1664,Aug-29,2008/05/06 00:00:00+00,1200,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.676,-117.125
-13038296.68,3852377.556,121,08FG1835,Aug-29,2008/05/24 00:00:00+00,1025,Marine,Marine,Yes,San Diego Harbor,Coronado,San Diego,32.676,-117.125
-13038310.38,3852473.966,122,08FG1745,Aug-15,2008/05/15 00:00:00+00,745,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.676729,-117.125123
-13038373.05,3854019.683,123,08FG2108,Aug-45,2008/06/19 00:00:00+00,715,Marine,Marine,Yes,San Diego Bay.,San Diego,San Diego,32.688416,-117.125686
-13038373.6,3853364.312,124,08FG0209,08-0313,2008/01/09 00:00:00+00,800,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.683461,-117.125691
-13038373.6,3853364.312,125,08FG0231,08-0358,2008/01/11 00:00:00+00,815,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.683461,-117.125691
-13038377.95,3852433.762,126,08FG3623,Aug-12,2008/11/14 00:00:00+00,1500,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.676425,-117.12573
-13038377.95,3852433.762,127,08FG2984,Aug-30,2008/09/10 00:00:00+00,1402,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.676425,-117.12573
-13038377.95,3852433.762,128,08FG2820,Aug-15,2008/08/26 00:00:00+00,830,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.676425,-117.12573
-13038377.95,3852433.762,129,08FG1746,Aug-16,2008/05/09 00:00:00+00,1215,Marine,Marine,Yes,San Diego,San Diego,San Diego,32.676425,-117.12573
-13038377.95,3852433.762,130,08FG0759,08-1311,2008/02/13 00:00:00+00,1100,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.676425,-117.12573
-13038377.95,3852433.762,131,08FG2935,Aug-95,2008/09/05 00:00:00+00,900,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.676425,-117.12573
-13038377.95,3852433.762,132,08FG2239,Aug-80,2008/07/02 00:00:00+00,1330,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.676425,-117.12573
-13038377.95,3852433.762,133,08FG3277,Aug-10,2008/10/09 00:00:00+00,830,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.676425,-117.12573
-13038377.95,3852433.762,134,08FG4105,Aug-72,2008/12/31 00:00:00+00,830,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.676425,-117.12573
-13038483.25,3853020.307,135,08FG1699,Aug-15,2008/05/11 00:00:00+00,645,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.68086,-117.126676
-13038528.9,3852335.236,136,08FG2078,Aug-66,2008/06/16 00:00:00+00,1442,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.67568,-117.127086
-13038544.03,3847764.395,137,08FG3934,Aug-02,2008/12/14 00:00:00+00,1600,Marine,Marine,Yes,San Diego Bay,Chula Vista,San Diego,32.641111,-117.127222
-13038583,3853710.708,138,08FG2351,Aug-40,2008/07/13 00:00:00+00,1900,Marine,Marine,Yes,Pacific Ocean,San Diego,San Diego,32.68608,-117.127572
-13038589.45,3853247.13,139,08FG1740,Aug-01,2008/05/14 00:00:00+00,1500,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.682575,-117.12763
-13038630.64,3852509.806,140,08FG1950,Aug-94,2008/06/04 00:00:00+00,1415,Marine,Marine,Yes,"Deck  Drain, runs to San Diego Bay",San Diego,San Diego,32.677,-117.128
-13038645.89,3853192.771,141,08FG0696,08-1188,2008/02/08 00:00:00+00,930,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.682164,-117.128137
-13038655.02,3852570.377,142,08FG3683,Aug-70,2008/11/21 00:00:00+00,1545,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,143,08FG3675,Aug-41,2008/11/20 00:00:00+00,800,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,144,08FG3208,Aug-58,2008/10/03 00:00:00+00,1030,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,145,08FG2979,Aug-19,2008/09/10 00:00:00+00,1145,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,146,08FG3863,Aug-56,2008/12/08 00:00:00+00,1000,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,147,08FG3971,Aug-85,2008/12/17 00:00:00+00,2030,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,148,08FG1441,Aug-32,2008/04/16 00:00:00+00,645,Marine,Marine,Yes,Pacific Ocean,Oceanside,San Diego,32.677458,-117.128219
-13038655.02,3791040.254,149,08FG1443,Aug-40,2008/04/16 00:00:00+00,1100,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.211,-117.128219
-13038655.02,3852570.377,150,08FG3521,Aug-39,2008/11/04 00:00:00+00,950,Marine,Marine,Yes,San Deigo Bay,San Diego,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,151,08FG3539,Aug-04,2008/11/06 00:00:00+00,1030,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,152,08FG3790,Aug-85,2008/12/01 00:00:00+00,1322,Marine,Marine,Yes,San Diego Bay,Unincorporated county area,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,153,08FG3793,Aug-90,2008/12/01 00:00:00+00,1515,Marine,Marine,Yes,San Diego Bay,San Diego,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,154,08FG3734,Aug-76,2008/11/26 00:00:00+00,900,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.677458,-117.128219
-13038655.02,3852570.377,155,08FG3898,Aug-29,2008/12/11 00:00:00+00,1015,Marine,Marine,Yes,San Diego Harbor,San Diego,San Diego,32.677458,-117.128219
